,Make,Model,price,Doors,Riding Capacity,Overall Length (mm),Overall Width (mm),Overall Height (mm),Wheelbase (mm),Weight (kg),Maximum Power (kW),Displacement (cc),Bore (mm),Stroke (mm),Fuel Tank Equipment (L),year of launch,displacement-based class
557,Daihatsu,Daihatsu Charade Social,1208000,4,5,4085,1620,1385,2395,920,74,1498,760,826,45,1996,Subcompact
558,Daihatsu,Daihatsu Charade,1013000,5,5,3680,1615,1385,2340,830,60,1295,760,714,37,1989,Subcompact
559,Daihatsu,Daihatsu Copen,1965000,2,2,3395,1475,1245,2230,840,47,659,610,564,40,2008,mini
560,Daihatsu,Daihatsu Charade Social,1148000,4,5,4085,1620,1385,2395,910,74,1498,760,826,45,1998,Subcompact
561,Daihatsu,Daihatsu Charade,862000,3,5,3680,1615,1385,2340,770,40,993,760,730,37,1989,mini
562,Daihatsu,Daihatsu Copen,2127600,2,2,3395,1475,1280,2230,850,47,658,630,704,30,2016,mini
563,Daihatsu,Daihatsu Copen,1572900,2,2,3395,1475,1245,2230,800,47,659,610,564,40,2004,mini
564,Daihatsu,Daihatsu Copen,1498000,2,2,3395,1475,1245,2230,800,47,659,610,564,40,2002,mini
565,Daihatsu,Daihatsu Copen,1800000,2,2,3395,1475,1245,2230,840,47,659,610,564,40,2012,mini
566,Daihatsu,Daihatsu Charade,952000,5,5,3680,1600,1385,2340,800,37,993,760,730,37,1989,mini
567,Daihatsu,Daihatsu Charade DE Tomaso,1393000,3,5,3760,1650,1420,2395,930,92,1589,760,876,45,1994,Subcompact
568,Daihatsu,Daihatsu Charade Social,1053000,4,5,4085,1620,1385,2395,880,74,1498,760,826,45,1996,Subcompact
569,Daihatsu,Daihatsu Charade,1038000,3,5,3680,1615,1385,2340,820,69,1295,760,714,40,1989,Subcompact
570,Daihatsu,Daihatsu Charade Social,1288000,4,5,4085,1620,1410,2395,960,74,1498,760,826,40,1996,Subcompact
571,Daihatsu,Daihatsu Charade,891000,3,5,3680,1615,1385,2340,760,40,993,760,730,37,1989,mini
572,Daihatsu,Daihatsu Charade DE Tomaso,1298000,3,5,3760,1650,1420,2395,900,92,1589,760,876,45,1993,Subcompact
573,Daihatsu,Daihatsu Charade Social,1463000,4,5,4100,1620,1385,2395,930,71,1498,760,826,45,1994,Subcompact
574,Daihatsu,Daihatsu Charade,831000,3,5,3680,1600,1385,2340,770,40,993,760,730,37,1989,mini
575,Daihatsu,Daihatsu Copen,1740900,2,2,3395,1475,1245,2230,830,47,659,610,564,40,2004,mini
576,Daihatsu,Daihatsu Charade,872000,3,5,3680,1615,1385,2340,740,40,993,760,730,37,1991,mini
577,Daihatsu,Daihatsu Charade Social,1208000,4,5,4100,1620,1385,2395,880,71,1498,760,826,45,1994,Subcompact
578,Daihatsu,Daihatsu Charade Social,1183000,4,5,4085,1620,1385,2395,920,71,1498,760,826,45,1995,Subcompact
579,Daihatsu,Daihatsu Charade,1161000,5,5,3680,1615,1385,2340,850,69,1295,760,730,40,1991,Subcompact
580,Daihatsu,Daihatsu Charade Social,1053000,4,5,4085,1620,1385,2395,880,74,1498,760,826,45,1999,Subcompact
581,Daihatsu,Daihatsu COO,1365000,5,5,3800,1690,1635,2540,1060,68,1297,720,797,40,2006,Subcompact
582,Daihatsu,Daihatsu Charade Social,1095000,4,5,3995,1615,1385,2340,880,60,1295,760,714,37,1989,Subcompact
583,Daihatsu,Daihatsu Charade Social,1323000,4,5,4085,1620,1400,2395,990,74,1498,760,826,40,1999,Subcompact
584,Daihatsu,Daihatsu Charade Social,1358000,4,5,4085,1620,1410,2395,970,71,1498,760,826,40,1995,Subcompact
585,Daihatsu,Daihatsu Copen,1927800,2,2,3395,1475,1280,2230,850,47,658,630,704,30,2016,mini
586,Daihatsu,Daihatsu Charade,939000,5,5,3680,1615,1385,2340,780,37,993,760,730,37,1991,mini
587,Daihatsu,Daihatsu Charade,1378000,5,5,3750,1620,1385,2395,880,67,1295,760,714,45,1993,Subcompact
588,Daihatsu,Daihatsu Charade Social,1323000,4,5,4085,1620,1400,2395,990,74,1498,760,826,40,1998,Subcompact
589,Daihatsu,Daihatsu Charade,1156000,5,5,3680,1615,1400,2340,870,69,1295,760,714,37,1989,Subcompact
590,Daihatsu,Daihatsu Charade,885000,5,5,3680,1615,1385,2340,770,40,993,760,730,37,1991,mini
591,Daihatsu,Daihatsu COO,1725000,5,5,3800,1690,1635,2540,1070,80,1495,720,918,40,2010,Subcompact
592,Daihatsu,Daihatsu Copen,1998000,2,2,3395,1475,1280,2230,870,47,658,630,704,30,2015,mini
593,Daihatsu,Daihatsu Charade Social,1368000,4,5,4100,1620,1385,2395,900,71,1498,760,826,45,1994,Subcompact
594,Daihatsu,Daihatsu Charade,859000,3,5,3680,1615,1385,2340,750,40,993,760,730,37,1991,mini
595,Daihatsu,Daihatsu Copen,2019600,2,2,3395,1475,1280,2230,850,47,658,630,704,30,2014,mini
596,Daihatsu,Daihatsu Charade,1283000,5,5,3750,1620,1385,2395,850,67,1295,760,714,45,1993,Subcompact
597,Daihatsu,Daihatsu Copen,1890000,2,2,3395,1475,1245,2230,830,47,659,610,564,40,2006,mini
598,Daihatsu,Daihatsu Charade Social,1135000,4,5,3995,1615,1385,2340,860,69,1295,760,714,40,1991,Subcompact
599,Daihatsu,Daihatsu Copen,1819800,2,2,3395,1475,1280,2230,850,47,658,630,704,30,2014,mini
600,Daihatsu,Daihatsu Charade,1085000,5,5,3680,1615,1385,2340,820,37,993,760,730,37,1991,mini
601,Daihatsu,Daihatsu Charade Social,1088000,4,5,4085,1620,1385,2395,890,71,1498,760,826,45,1995,Subcompact
602,Daihatsu,Daihatsu Copen,1572900,2,2,3395,1475,1245,2230,830,47,659,610,564,40,2004,mini
603,Daihatsu,Daihatsu Charade Social,1463000,4,5,4100,1620,1410,2395,940,71,1498,760,826,40,1994,Subcompact
604,Daihatsu,Daihatsu COO,1495000,5,5,3800,1690,1635,2540,1060,68,1297,720,797,40,2010,Subcompact
605,Daihatsu,Daihatsu Charade Social,1288000,4,5,4085,1620,1410,2395,960,74,1498,760,826,40,1997,Subcompact
606,Daihatsu,Daihatsu Charade,1133000,5,5,3750,1620,1385,2395,870,67,1295,760,714,45,1993,Subcompact
607,Daihatsu,Daihatsu Charade Social,1113000,4,5,4085,1620,1385,2395,890,74,1498,760,826,45,1997,Subcompact
608,Daihatsu,Daihatsu Charade Social,1113000,4,5,4085,1620,1385,2395,890,74,1498,760,826,45,1998,Subcompact
609,Daihatsu,Daihatsu Copen,2052000,2,2,3395,1475,1280,2230,870,47,658,630,704,30,2015,mini
610,Daihatsu,Daihatsu Copen,1819800,2,2,3395,1475,1280,2230,850,47,658,630,704,30,2014,mini
